,timestamp,cadence,gct,heart_rate,respiration_rate,time
0,1707180312,0,0,159.0,0.0,0
1,1707180313,0,0,156.0,0.0,1
2,1707180314,0,0,155.0,0.0,2
3,1707180315,0,0,154.0,0.0,3
4,1707180316,0,0,152.0,0.0,4
5,1707180317,0,0,151.0,0.0,5
6,1707180318,0,0,150.0,0.0,6
7,1707180319,0,0,149.0,0.0,7
8,1707180320,0,0,147.0,0.0,8
9,1707180321,0,0,146.0,12.09,9
10,1707180322,0,0,145.0,12.09,10
11,1707180323,0,0,145.0,12.09,11
12,1707180324,0,0,144.0,12.09,12
13,1707180325,0,0,143.0,12.09,13
14,1707180326,0,0,142.0,12.09,14
15,1707180327,0,0,141.0,12.09,15
16,1707180328,0,0,140.0,12.09,16
17,1707180329,0,0,139.0,12.09,17
18,1707180330,0,0,139.0,12.09,18
19,1707180331,0,0,139.0,12.09,19
20,1707180332,0,0,138.0,12.09,20
21,1707180333,0,0,138.0,12.09,21
22,1707180334,0,0,137.0,12.09,22
23,1707180335,0,0,136.0,12.09,23
24,1707180336,0,0,135.0,12.09,24
25,1707180337,0,0,135.0,12.09,25
26,1707180338,0,0,134.0,12.09,26
27,1707180339,0,0,134.0,12.09,27
28,1707180340,0,0,133.0,12.09,28
29,1707180341,0,0,132.0,12.09,29
30,1707180342,0,0,131.0,12.09,30
31,1707180343,0,0,131.0,12.06,31
32,1707180344,0,0,130.0,12.06,32
33,1707180345,0,0,130.0,12.06,33
34,1707180346,0,0,130.0,12.06,34
35,1707180347,0,0,130.0,12.12,35
36,1707180348,0,0,129.0,12.12,36
37,1707180349,0,0,129.0,12.12,37
38,1707180350,0,0,128.0,12.12,38
