timestamp,heart rate,activity type,time
1719350673,101.0,generic,0
1719350674,101.0,generic,1
1719350675,100.0,generic,2
1719350676,100.0,generic,3
1719350677,100.0,generic,4
1719350678,100.0,generic,5
1719350679,100.0,generic,6
1719350680,101.0,generic,7
1719350681,101.0,generic,8
1719350682,101.0,generic,9
1719350683,100.0,generic,10
1719350684,99.0,generic,11
1719350685,97.0,generic,12
1719350686,97.0,generic,13
1719350687,97.0,generic,14
1719350688,97.0,generic,15
1719350689,97.0,generic,16
1719350690,97.0,generic,17
1719350691,98.0,generic,18
1719350692,98.0,generic,19
1719350693,98.0,generic,20
1719350694,99.0,generic,21
1719350695,99.0,generic,22
1719350696,99.0,generic,23
1719350697,99.0,generic,24
1719350698,99.0,generic,25
1719350699,98.0,generic,26
1719350700,98.0,generic,27
1719350701,98.0,generic,28
1719350702,98.0,generic,29
1719350703,98.0,generic,30
1719350704,98.0,generic,31
1719350705,98.0,generic,32
1719350706,98.0,generic,33
1719350707,98.0,generic,34
1719350708,98.0,generic,35
1719350709,98.0,generic,36
1719350710,99.0,generic,37
